znamka,model,generacija,verzija,višina,širina,dolžina,teža
Peugeot,108,,5-doors 1.0 VTi 68 ETG5 Allure TOP!,146.0,161.5,347.5,935

Peugeot,108,,5-doors 1.2 PureTech 82 Allure TOP!,146.0,161.5,347.5,940

Peugeot,108,,5-doors 1.2 PureTech 82 Open TOP!,146.0,161.5,347.5,940

Peugeot,108,,5-doors 1.2 PureTech 82 Open,146.0,161.5,347.5,940

Peugeot,108,,5-doors 1.2 PureTech 82 Roland Garros TOP!,146.0,161.5,347.5,940

Peugeot,108,,5-doors 1.2 VTi 82,146.0,161.5,347.5,940

Peugeot,108,,5-doors e-VTi 68,146.0,161.5,347.5,935

Peugeot,108,,5-doors VTi 68 ETG5,146.0,161.5,347.5,935

Peugeot,108,,5-doors VTi 68,146.0,161.5,347.5,915

Peugeot,108,,TOP! 1.0 68HP,,,,875

Land Rover,109 Series III,,2.6,206,168,444.5,1700

Land Rover,109 Series III,,3.5 V8,201,168,444.5,1760

Renault,11,11,1.4 TL/GTL,141.0,166.0,398.0,843

Renault,11,11,1.4 TSE,141.0,166.0,398.0,900

Renault,11,11,GTD - TDE,140,166,397.3,950

Renault,11,11,GTX - TXE,140,166,397.3,910

Renault,11,11 II,1.2 TC,141.0,167.0,405.0,816

Renault,11,11 II,1.4 Automatic,141.0,167.0,405.0,865

Renault,11,11 II,1.4 GTL,141.0,167.0,405.0,872

Renault,11,11 II,1.4 TL,141.0,167.0,405.0,872

Renault,11,11 II,1.7 GTE,141.0,167.0,405.0,898

Renault,11,11 II,1.7 GTX,141.0,167.0,405.0,898

Renault,11,11 II,GTD,141.0,167.0,405.0,915

Renault,11,11,TL - GTL,140,166,397.3,870

Renault,11,11,Turbo,138,166,397.3,915

Land Rover,Defender,110,2.2 Diesel,203.5,179,444.5,

Land Rover,Defender,110,2.2,203.5,179,444.5,1723

Land Rover,Defender,110,V8,203.5,179,444.5,

Renault,12,,1300 Automatic,143.5,161.3,434.3,935

Renault,12,,1300 Estate,145.4,163.8,440.7,950

Renault,12,,1300 L,143.5,161.3,434.3,900

Renault,12,,1300 TS,143.5,163.8,434.3,910

Renault,12,,1300,143.5,163.8,434.3,840

Renault,12,,Gordini,139.7,161.3,430,980

Skoda,120,,L/LS,140.0,161.0,420.0,922

Skoda,120,,L,140,159.5,416.1,880

Skoda,120,,LS - GLS,140,161,420,885

Skoda,1202,,Estate,158,170,448.5,1062

Mazda,121 (Cosmo AP/RX 5),,Coupe,133.0,168.0,448.0,1110

Mazda,121 I,,1.1 5sp,145.0,160.0,348.0,725

Mazda,121 I,,1.1,145.0,160.0,348.0,725

Mazda,121 I,,1.3 Cabrio Top,150.0,160.0,348.0,775

Mazda,121 I,,1.3,145.0,160.0,348.0,775

Mazda,121 II,,1.3i Cabrio Top,150.0,166.0,380.0,835

Mazda,121 II,,1.3i,147.0,166.0,380.0,810

Mazda,121 III,,1.25i auto,132.0,163.0,383.0,950

Mazda,121 III,,1.25i Cabrio Top,132.0,163.0,383.0,928

Mazda,121 III,,1.25i,132.0,163.0,383.0,925

Mazda,121 III,,1.3i,132.0,163.0,383.0,935

Mazda,121 III,,1.8 D,132.0,163.0,383.0,1035

Mazda,121 III,,1.8 TD,132.0,163.0,383.0,1034

Volvo,120 Amazon,122,B16,150.4,161.3,445,1000

Volvo,120 Amazon,122,S,150.5,161.9,445.1,1090

Fiat,124,124,1200,141.6,162.6,404.2,864

Fiat,124,124 Coupe I,1400 5-Speed,133.9,167,411.5,

Fiat,124,124 Coupe I,1400,133.9,167,411.5,980

Fiat,124,124 Coupe II,1600,134,167,411.5,995

Fiat,124,124 Coupe III,1800,134,167,411.5,996

Fiat,124,124,Special T,142.2,161.3,406.4,960

Fiat,124,124 Spider,Lusso 1.4T 140HP Auto,123.3,174.0,405.4,1145

Fiat,124,124 Spider,Lusso 1.4T 140HP,123.3,174.0,405.4,

Fiat,124,124 Sport Spider,1400,125,161,397,945

Fiat,124,124 Sport Spider,1600,125,161,397,960

Fiat,124,124 Sport Spider,1800,125,161,397,960

Fiat,124,124 Sport Spider,2000,122,161,414,1070

Fiat,124,124 Sport Spider,2000i,122,161,414,1070

Fiat,124,124 Sport Spider,Abarth Rallye,124,163.1,391.2,939

Ferrari,125,,S,,,,650

Fiat,126,,650cc,133.5,138.2,312.9,600

Fiat,128,,1100SL Coupe,130.8,156.2,381,820

Fiat,128,,1300SL Coupe,130.8,156.2,381,820

Fiat,128,,Berlinetta,130.8,156.2,382.3,850

Fiat,128,,CL Estate,142.2,158.8,383.5,831

Fiat,128,,CL,142.2,158.8,383.5,805

Fiat,128,,Estate,142.2,158.8,386.1,825

Fiat,128,,Rally,139.1,158.8,388,820

Fiat,128,,Saloon,142.2,158.8,385.5,815

Fiat,130,130 Coupe,Automatic,137.8,176,484.2,1600

Fiat,130,130,Opera,137,175.5,485,

Fiat,130,130,Saloon Automatic,144.1,180.3,475,1542

Fiat,130,130,Saloon,147.3,180.3,475,1474

Honda,1300 Coupe,,112hp,132.1,150,416.6,915

Honda,1300 Coupe,,7 Custom Automatic,132,149.5,410.5,

Honda,1300 Coupe,,7 Custom,132,149.5,410.5,905

Honda,1300 Coupe,,7 De Luxe Automatic,132,149.5,414,920

Honda,1300 Coupe,,7 De Luxe,132,149.5,414,895

Honda,1300 Coupe,,9 De Luxe,132,149.5,414,920

Honda,1300 Coupe,,94hp,132.1,150,416.6,915

Honda,1300 Sedan,,77 Automatic,134.5,146.5,399.5,

Honda,1300 Sedan,,77,134.5,146.5,399.5,910

Seat,131,,2000,136,163.2,423.8,985

Seat,131,,Diesel,136,163.2,423.8,1070

Fiat,132,132,1600 GLS,142.2,164.5,440.7,1095

Fiat,132,132,1600,138.4,164.5,438.2,1070

Fiat,132,132,1800 ES,142.2,164.5,442,1095

Fiat,132,132,1800,138.4,164.5,438.2,1070

Fiat,132,132 Facelift,2000 GLS Automatic,143.5,163.8,439.4,1140

Fiat,132,132 Facelift,2000 GLS,143.5,163.8,439.4,1140

Fiat,132,132 Facelift,Diesel 2000,143,164,439,1220

Fiat,132,132 Facelift,Diesel 2500,143,164,439,1230

Renault,14,,1.2 TL,140.0,162.0,402.0,833

Renault,14,,1.4 GTL,140.0,162.0,402.0,836

Renault,14,,1.4 LS/TS,140.0,162.0,402.0,850

Volvo,140 - 164,142,Grand Luxe Saloon Automatic,144,173,464,

Volvo,140 - 164,142,Grand Luxe Saloon,144,173,464,1180

Volvo,140 - 164,142,S De Luxe Saloon,144,173,464,1150

Volvo,140 - 164,142,Saloon,144,173,464,1130

Honda,145,,Honda 145,136,146.5,399.5,845

Honda,145 Coupe,,Honda 145 Coupe,133,149.5,414,850

Honda,145 Coupe,,FI,133,149.5,414,880

Honda,145,,Custom,136,146.5,402,880

Alfa Romeo,147,,1.6 TS eco,144.2,172.9,417,1190

Alfa Romeo,147,,1.6 TS,144.2,172.9,417,1200

Alfa Romeo,147,,1.9 JTD 100HP,144.2,172.9,422.3,1250

Alfa Romeo,147,,1.9 JTD 115HP,144.2,172.9,417,1270

Alfa Romeo,147,,1.9 JTD 16v,144.2,172.9,422.3,1290

Alfa Romeo,147,,1.9 JTD 8v Mjet,144.2,172.9,422.3,

Alfa Romeo,147,,1.9 JTD Ducati Corse 3 doors,142.1,172.9,422.3,1290

