znamka,model,generacija,verzija,višina,širina,dolžina,teža
Peugeot,2008,2008,1.2 VTi 82 Allure,155.6,173.9,415.9,1120

Peugeot,2008,2008,1.4 HDi 68 Active,155.6,173.9,415.9,1165

Peugeot,2008,2008 II,1.5 BlueHDI 100 Auto,153,177,430,1180

Peugeot,2008,2008 II,1.5 BlueHDI 100,153,177,430,1180

Peugeot,2008,2008 II,1.5 BlueHDi 110,153.0,177.0,430.0,1180

Peugeot,2008,2008 II,1.5 BlueHDi 130,153.0,177.0,430.0,1245

Peugeot,2008,2008,1.6 BlueHDi 100 Active,155.6,173.9,415.9,1240

Peugeot,2008,2008,1.6 BlueHDi 100 Allure,155.6,173.9,415.9,1240

Peugeot,2008,2008,1.6 BlueHDi 100 Crossway,155.6,173.9,415.9,1240

