znamka,model,generacija,verzija,prvo leto proizvodnje,gorivo,poravnava motorja,prostornina motorja,moč motorja,prisilno polnenje motorja,pospesevanje,max hitrost,navor,emisije,poraba
Peugeot,106,,1.0 XN,1996.0,Petrol,,954.0,50.0,,19.2,150.0,74.0,148.0,6.2

Peugeot,106,,1.0i XN,1992.0,Petrol,,954.0,50.0,,19.0,150.0,74.0,,6.3

Peugeot,106,,1.1 XR - XT,1996.0,Petrol,,1124.0,60.0,,13.7,165.0,88.0,160.0,6.7

Peugeot,106,,1.1i XR - XT,1991.0,Petrol,,1124.0,60.0,,13.7,165.0,88.0,,6.4

Peugeot,106,,1.4 D XN - XR,1993.0,Diesel,,1360.0,50.0,,21.0,145.0,82.0,,4.8

Peugeot,106,,1.4 XR - XT,2001.0,Petrol,,1360.0,75.0,,13.2,177.0,120.0,152.0,6.4

Peugeot,106,,1.4i XR - XT - XS,1991.0,Petrol,,1360.0,75.0,,11.4,175.0,111.0,,6.8

Peugeot,106,,1.5 D XR,1996.0,Diesel,,1527.0,58.0,,18.5,158.0,95.0,,5.3

Peugeot,106,,1.6 XS,1996.0,Petrol,,1587.0,90.0,,12.2,185.0,135.0,,7.2

Peugeot,106,,1.6i XT - XS,1994.0,Petrol,,1587.0,90.0,,10.4,180.0,135.0,,6.8

Peugeot,106,,GTI 1.6 16v,1996.0,Petrol,,1587.0,120.0,,8.7,205.0,145.0,201.0,8.5

Peugeot,106,,Rallye 1.3i,1993.0,Petrol,,1294.0,101.0,,10.3,190.0,108.0,,7.8

Peugeot,106,,Rallye 1.6,1996.0,Petrol,,1587.0,103.0,,9.6,195.0,132.0,,8.4

Peugeot,106,,XSi 1.6,1994.0,Petrol,,1587.0,105.0,,10.0,195.0,135.0,,7.6

Peugeot,106,,XSi,1991.0,Petrol,,1360.0,95.0,,10.0,187.0,117.0,,7.4

Peugeot,107,,1.0i,2005.0,Petrol,,998.0,68.0,,13.7,157.0,93.0,109.0,4.6

Peugeot,107,,1.4 HDi,2005.0,Diesel,,1399.0,54.0,,15.6,154.0,130.0,109.0,4.1

Peugeot,107,,3doors Active 1.0 68HP,2012.0,Petrol,,998.0,68.0,,12.3,157.0,93.0,99.0,4.3

Peugeot,107,,3doors Envy 1.0 68HP,2012.0,Petrol,,998.0,68.0,,12.3,157.0,93.0,99.0,4.3

Peugeot,107,,3doors Trendy 1.0 68HP,2010.0,Petrol,,998.0,68.0,,13.7,157.0,93.0,106.0,4.5

Peugeot,107,,3doors Urban 1.0 68HP,2010.0,Petrol,,998.0,68.0,,13.7,157.0,93.0,106.0,4.5

Peugeot,107,,5doors Active 1.0 68HP 2Tronic,2012.0,Petrol,,998.0,68.0,,14.0,157.0,93.0,104.0,4.5

Peugeot,107,,5doors Active 1.0 68HP,2012.0,Petrol,,998.0,68.0,,12.3,157.0,93.0,99.0,4.3

Peugeot,107,,5doors Envy 1.0 68HP,2012.0,Petrol,,998.0,68.0,,12.3,157.0,93.0,99.0,4.3

Peugeot,107,,5doors Trendy 1.0 68HP 2-Tronic,2010.0,Petrol,,998.0,68.0,,14.0,157.0,93.0,107.0,4.6

Peugeot,107,,5doors Trendy 1.0 68HP,2010.0,Petrol,,998.0,68.0,,13.7,157.0,93.0,106.0,4.5

Peugeot,107,,5doors Trendy 1.4 HDi 54HP,2010.0,Diesel,,1399.0,54.0,,15.6,154.0,130.0,109.0,4.1

Peugeot,107,,5doors Urban 1.0 68HP,2010.0,Petrol,,998.0,68.0,,13.7,157.0,93.0,106.0,4.5

Peugeot,108,,3-door 1.0 e-VTi 72,2018.0,Petrol,,998.0,72.0,,12.6,160.0,93.0,86.0,3.8

Peugeot,108,,3-doors 1.0 68HP,2014.0,Petrol,,998.0,68.0,,12.3,157.0,93.0,99.0,4.3

Peugeot,108,,3-doors 1.0 VTi 68 ETG5,2014.0,Petrol,,998.0,69.0,,15.9,157.0,96.0,97.0,4.2

Peugeot,108,,3-doors 1.2 PureTech 82,2014.0,Petrol,,1199.0,82.0,,10.9,170.0,118.0,99.0,4.3

Peugeot,108,,3-doors 1.2 VTi 82,2014.0,Petrol,,1199.0,82.0,,11.0,170.0,118.0,99.0,4.3

Peugeot,108,,3-doors e-VTi 68,2014.0,Petrol,,998.0,69.0,,,157.0,96.0,88.0,3.8

Peugeot,108,,3-doors VTi 68 ETG5,2014.0,Petrol,,998.0,69.0,,,157.0,96.0,97.0,4.2

Peugeot,108,,3-doors VTi 68,2014.0,Petrol,,998.0,69.0,,,157.0,96.0,95.0,4.1

Peugeot,108,,5-door 1.0 e-VTi 72 Auto,2018.0,Petrol,,998.0,72.0,,15.7,160.0,93.0,95.0,4.2

Peugeot,108,,5-door 1.0 e-VTi 72,2018.0,Petrol,,998.0,72.0,,12.6,160.0,93.0,86.0,3.8

Peugeot,108,,5-doors 1.0 68HP,2014.0,Petrol,,998.0,68.0,,12.3,157.0,93.0,99.0,4.3

Peugeot,108,,5-doors 1.0 VTi 68 ETG5 Allure TOP!,2014.0,Petrol,,998.0,69.0,,15.9,157.0,96.0,97.0,4.2

